,set,PCC,mse,rmse,count,file
0,test,0.76565291205818,2.3784476010050253,2.980402902008422,199.0,5
1,training,0.8397831587729929,1.9976168365162867,2.579812527571021,6539.0,5
2,validation,0.7331352766724213,2.4903901391566263,3.20105589767054,498.0,5
3,test,0.7248771015453463,2.3916756959798997,3.055009296888347,199.0,12
4,training,0.8910259641430267,1.5441655675990213,2.0135940496069376,6539.0,12
5,validation,0.7791614731056598,2.1750286399598395,2.8336121557713327,498.0,12
6,test,0.7757362310244343,2.1692338633165833,2.810698096093082,199.0,15
7,training,0.9100855630472452,1.4068634952775654,1.855423729613675,6539.0,15
8,validation,0.7805861965142077,2.1028096194779122,2.84054386228623,498.0,15
9,test,0.6723837758487248,2.5961924904522613,3.3319189500722985,199.0,2
10,training,0.7505532412202006,2.2727547428200032,2.9379846964079643,6539.0,2
11,validation,0.6892876392155125,2.543665403012048,3.2680758011145494,498.0,2
12,test,0.7077775908254123,2.5067285296482416,3.2675390842289227,199.0,3
13,training,0.8019644577582886,2.134588311546108,2.7550596710417987,6539.0,3
14,validation,0.7075928119678793,2.6243461277108437,3.3654955636702666,498.0,3
15,test,0.7271421625477813,2.3936632663316586,3.04385003879715,199.0,14
16,training,0.8965489963040427,1.49590189430601,1.9608181160429043,6539.0,14
17,validation,0.7616359461921794,2.2152657335341366,2.9057879972252327,498.0,14
18,test,0.7198020608468949,2.7525091145728644,3.5114742579937084,199.0,13
19,training,0.8762461432669155,2.0445990242166996,2.590531659882786,6539.0,13
20,validation,0.7506676316112912,2.5308939718875503,3.3769775284198165,498.0,13
21,test,0.7201424498280475,2.4881819180904525,3.2865111605436033,199.0,4
22,training,0.8257872208324062,1.992834078620584,2.594790401475589,6539.0,4
23,validation,0.7339262709083904,2.4946440664658636,3.273973431271446,498.0,4
24,test,0.5899494525123761,2.912923865326633,3.751220224282649,199.0,1
25,training,0.7117269391367754,2.5568999074323293,3.260789173086183,6539.0,1
26,validation,0.6790653477024771,2.73426722751004,3.4175306270685515,498.0,1
27,test,0.7783421900993351,2.1481589236180905,2.793920393378182,199.0,16
28,training,0.9147016907626996,1.4083484780348678,1.8520453361284448,6539.0,16
29,validation,0.7677619159999861,2.1824222166666667,2.913505140851834,498.0,16
30,test,0.7782705772785238,2.1408259994974874,2.8747089605705614,199.0,19
31,training,0.9291242186853986,1.3820755285841873,1.8232695502122869,6539.0,19
32,validation,0.7797566732690457,2.171590410240964,2.9119543806366615,498.0,19
33,test,0.7308559708374285,2.3601171296482413,3.0522075896557057,199.0,9
34,training,0.8561852591995758,1.7315660594051079,2.2917269970388574,6539.0,9
35,validation,0.7429468780347818,2.2829577875502007,3.037335667419497,498.0,9
36,test,0.8100436271862407,2.093012295477387,2.682355745642354,199.0,11
37,training,0.8775642363856733,1.627794212953051,2.132901822656217,6539.0,11
38,validation,0.7537007312562007,2.2824916887550204,2.9870843247255827,498.0,11
39,test,0.7826732064427442,2.1698111788944723,2.7967767333270683,199.0,6
40,training,0.8556433458064172,1.8020271440831932,2.3468643666356983,6539.0,6
41,validation,0.7526298799610052,2.2739305901606426,3.037523330007852,498.0,6
42,test,0.748602831798458,2.2295141452261307,2.945791435231921,199.0,8
43,training,0.8650843044132567,1.7238315315338735,2.250785384413527,6539.0,8
44,validation,0.7603802330598635,2.2735200487951808,2.9393783606369426,498.0,8
45,test,0.7406435896475345,2.2770661432160804,3.073408631926374,199.0,7
46,training,0.8662669318938238,1.7531665605090074,2.291584631698552,6539.0,7
47,validation,0.7585288011460158,2.283898302008032,3.027247403889674,498.0,7
48,test,0.7814958054170368,2.2633050718592966,2.8631886597300262,199.0,10
49,training,0.8799036475136186,1.7508478125340263,2.2783905762501844,6539.0,10
50,validation,0.7843675880924503,2.226184302811245,2.908890705450867,498.0,10
51,test,0.7954269068382375,2.007568603517588,2.6902285197298754,199.0,17
52,training,0.9198560349321055,1.3441835779206213,1.7804073326404999,6539.0,17
53,validation,0.764122598034209,2.1904229403614464,2.9201299495192234,498.0,17
54,test,0.6328579449783811,2.9642306507537683,3.8882733724757483,199.0,0
55,training,0.6535120124573232,2.914431977106591,3.7414229266756656,6539.0,0
56,validation,0.6433528201942429,3.107754023895582,3.844997933184854,498.0,0
57,test,0.8100125967497913,2.0031821407035175,2.592250939311771,199.0,18
58,training,0.9207493032995767,1.3050593021517052,1.7240950365748777,6539.0,18
59,validation,0.7929520257299966,2.074519268875502,2.7344363759994903,498.0,18
